DEEPMEDIC DICE VALUES TEST SET
[Background, Lungs, Bronchus]
lung12: [0.9818 0.9812 0.7213]
lung13: [0.9895 0.9909 0.8258]
lung14: [0.9788 0.9793 0.8171]
lung15: [0.9650 0.9652 0.7911]
lung16: [0.9743 0.9755 0.8058]
lung17: [0.9909 0.9912 0.8873]
lung18: [0.9903 0.9906 0.8777]
lung19: [0.9811 0.9814 0.7573]
lung20: [0.9137 0.9135 0.8011]
lung21: [0.9510 0.9508 0.8848]
lung22: [0.9722 0.9723 0.9069]
lung23: [0.9812 0.9814 0.8576]
lung24: [0.9814 0.9824 0.8210]
lung25: [0.9921 0.9923 0.7989]
lung26: [0.8376 0.8399 0.5139]
lung27: [0.9878 0.9893 0.8034]
lung28: [0.9853 0.9856 0.8563]
lung29: [0.9861 0.9864 0.9085] <--- BEST
lung30: [0.9757 0.9756 0.7680]
lung32: [0.9695 0.9700 0.8663]

AVERAGE: [0.9693 0.9697 0.8135]
